Date,Open,High,Low,Close,Adj Close,Volume
2013-12-16,9.898667,10.326667,9.273333,9.549333,9.549333,733572000
2013-12-23,9.656667,10.533333,9.506667,10.074667,10.074667,418750500
2013-12-30,10.074667,10.320667,9.770000,9.970667,9.970667,294199500
2014-01-06,10.000000,10.246667,9.483333,9.714667,9.714667,440797500
2014-01-13,9.718667,11.546667,9.111333,11.334000,11.334000,1133314500
2014-01-20,11.416000,12.158667,11.387333,11.640000,11.640000,484335000
2014-01-27,11.677333,12.400000,10.980667,12.094000,12.094000,537286500
2014-02-03,12.192667,12.442000,11.290667,12.435333,12.435333,502339500
2014-02-10,12.622667,13.514667,12.621333,13.215333,13.215333,645624000
2014-02-17,13.682667,14.347333,12.894000,13.973333,13.973333,769843500
2014-02-24,13.917333,17.666668,13.888000,16.320667,16.320667,1471504500
2014-03-03,15.817333,17.333332,15.666000,16.414000,16.414000,644160000
2014-03-10,16.180000,16.500000,15.221333,15.398000,15.398000,612279000
2014-03-17,15.663333,16.103333,15.166667,15.259333,15.259333,438915000
2014-03-24,15.316667,15.326667,13.533333,14.158000,14.158000,679230000
2014-03-31,14.433333,15.715333,13.759333,14.148667,14.148667,732045000
2014-04-07,13.720667,14.563333,13.240000,13.585333,13.585333,572721000
2014-04-14,13.840000,13.896000,12.288000,13.208000,13.208000,517369500
2014-04-21,13.138667,14.622000,12.933333,13.323333,13.323333,522756000
2014-04-28,13.333333,14.268000,12.700000,14.060667,14.060667,401826000
2014-05-05,13.965333,14.577333,11.814667,12.150667,12.150667,742722000
2014-05-12,12.258000,12.898667,11.992000,12.770667,12.770667,450514500
2014-05-19,12.714667,13.850667,12.666667,13.820000,13.820000,384367500
2014-05-26,13.901333,14.320000,13.684000,13.851333,13.851333,301647000
2014-06-02,13.822000,14.054000,13.360000,13.878000,13.878000,286270500
2014-06-09,13.863333,13.999333,13.283333,13.761333,13.761333,297538500
2014-06-16,13.784000,15.702667,13.750667,15.306000,15.306000,707827500
2014-06-23,15.300667,16.125334,15.214667,15.937333,15.937333,486375000
2014-06-30,15.970000,16.299334,14.933333,15.283333,15.283333,335382000
2014-07-07,15.166667,15.318667,14.284667,14.542000,14.542000,390172500
2014-07-14,14.666000,15.252667,14.240000,14.668000,14.668000,388039500
2014-07-21,14.483333,15.131333,14.448000,14.904667,14.904667,239521500
2014-07-28,14.950000,15.833333,14.736000,15.551333,15.551333,517041000
2014-08-04,15.625333,17.112667,15.551333,16.542000,16.542000,497499000
2014-08-11,17.032000,17.709333,16.972000,17.467333,17.467333,441160500
2014-08-18,17.549999,17.817333,16.774668,17.118668,17.118668,299413500
2014-08-25,17.212667,18.133333,17.212667,17.980000,17.980000,306198000
2014-09-01,18.366667,19.427999,18.167334,18.492666,18.492666,542044500
2014-09-08,18.507999,19.032667,18.243999,18.613333,18.613333,313986000
2014-09-15,18.291332,18.293333,16.608667,17.288000,17.288000,606550500
2014-09-22,17.000000,17.068001,16.313999,16.440001,16.440001,393778500
2014-09-29,16.266666,17.100000,15.710000,17.014000,17.014000,441558000
2014-10-06,17.275333,17.702667,15.680000,15.794000,15.794000,562552500
2014-10-13,15.904667,15.930667,14.488000,15.165333,15.165333,652050000
2014-10-20,15.114667,15.853333,15.034000,15.682667,15.682667,280455000
2014-10-27,15.616667,16.306667,14.687333,16.113333,16.113333,480537000
2014-11-03,16.200001,16.504000,15.233333,16.013332,16.013332,561720000
2014-11-10,15.940667,17.256666,15.786667,17.245333,17.245333,461008500
2014-11-17,17.166000,17.332666,16.144667,16.185333,16.185333,412342500
2014-11-24,16.346666,16.648001,16.042667,16.301332,16.301332,180756000
2014-12-01,16.077333,16.164667,14.817333,14.914000,14.914000,445999500
2014-12-08,14.769333,14.990667,13.618000,13.800000,13.800000,597591000
2014-12-15,13.952667,14.693333,12.843333,14.619333,14.619333,531090000
2014-12-22,14.666667,15.233333,14.550667,15.188000,15.188000,209464500
2014-12-29,15.126667,15.194000,14.217333,14.620667,14.620667,191514000
2015-01-05,14.303333,14.433333,13.614000,13.777333,13.777333,340644000
2015-01-12,13.536667,13.840667,12.333333,12.871333,12.871333,461988000
2015-01-19,12.924667,13.566667,12.469333,13.419333,13.419333,243175500
2015-01-26,13.455333,13.908000,13.100000,13.573333,13.573333,235803000
2015-02-02,13.598000,15.032000,13.553333,14.490667,14.490667,285714000
2015-02-09,14.358667,14.700000,12.885333,13.584667,13.584667,607089000
2015-02-16,13.713333,14.506667,13.433333,14.474000,14.474000,267441000
2015-02-23,14.377333,14.546667,13.446667,13.556000,13.556000,440518500
2015-03-02,13.513333,13.746000,12.810000,12.925333,12.925333,422487000
2015-03-09,12.959333,13.078667,12.488000,12.578667,12.578667,403123500
2015-03-16,12.800000,13.639333,12.653333,13.205333,13.205333,421327500
2015-03-23,13.233333,13.586000,12.093333,12.333333,12.333333,371172000
2015-03-30,12.390000,12.917333,12.120000,12.733333,12.733333,358816500
2015-04-06,13.200000,14.110000,13.166667,14.060000,14.060000,464620500
2015-04-13,14.029333,14.200000,13.566667,13.786000,13.786000,192984000
2015-04-20,13.785333,14.792000,13.590000,14.562000,14.562000,310407000
2015-04-27,14.837333,15.916667,14.694000,15.068667,15.068667,463315500
2015-05-04,15.212000,15.966667,14.683333,15.774000,15.774000,444397500
2015-05-11,15.752667,16.626667,15.687333,16.589333,16.589333,373491000
2015-05-18,16.466667,16.733334,16.091333,16.515333,16.515333,224650500
2015-05-25,16.511999,16.858000,16.336666,16.719999,16.719999,215152500
2015-06-01,16.760668,16.773333,16.378668,16.609333,16.609333,178455000
2015-06-08,16.723333,17.250000,16.566668,16.712667,16.712667,218235000
2015-06-15,16.646667,17.624001,16.400667,17.500668,17.500668,223942500
2015-06-22,17.476667,18.094000,17.046000,17.806000,17.806000,262977000
2015-06-29,17.463333,18.830000,17.379999,18.667999,18.667999,237463500
2015-07-06,18.591999,18.779333,16.954000,17.276667,17.276667,335896500
2015-07-13,17.483334,18.369333,17.070000,18.310667,18.310667,202644000
2015-07-20,18.333332,19.110001,17.390667,17.694000,17.694000,288838500
2015-07-27,17.495333,17.957333,16.719334,17.743334,17.743334,234559500
