date,DGS5,DGS30,spread,spread_EWM(1),spread_EWM(10),spread_EWM(20),spread_EWM(50),spread_EWM(100),spread_EWM(200),spread_EWM(500),spread_EWM(1000)
1997-06-13,0.063,0.0673,-0.004299999999999998,-0.004156222228451862,-0.003827139944913255,-0.003810962227442944,-0.004105568146613295,-0.004474954339341381,-0.005174396495997983,-0.006439477585117487,-0.006195592732718681
1997-06-16,0.06280000000000001,0.067,-0.004199999999999995,-0.004178111448228917,-0.0038527580662941533,-0.0038246157516766068,-0.004106918064133462,-0.004472977034180885,-0.0051708854501506755,-0.006436242239596707,-0.0061941129354114235
1997-06-17,0.06309999999999999,0.0672,-0.004100000000000006,-0.00413905542614066,-0.0038697158272688707,-0.0038342705709702714,-0.0041068192215426595,-0.0044702955703796714,-0.00516702727926404,-0.006432867299693694,-0.006192560157655204
1997-06-18,0.0629,0.0669,-0.0040000000000000036,-0.0040695274478421434,-0.0038786372627777105,-0.0038400751729249414,-0.0041052938240260925,-0.004466915401902636,-0.005162823331330239,-0.0064293529833347775,-0.006190934460604141
1997-06-19,0.0629,0.0668,-0.0039000000000000007,-0.0039847635622467905,-0.003880097908210926,-0.0038421719993756184,-0.004102363694452645,-0.004462841934865392,-0.005158274948400765,-0.006425699508058808,-0.006189235905350773
1997-06-20,0.06269999999999999,0.0665,-0.0038000000000000117,-0.003892381693021185,-0.003874629024705221,-0.003840697728235013,-0.004098050281113889,-0.0044580805280320214,-0.005153383466617553,-0.0064219070910179745,-0.006187464552926129
1997-06-23,0.063,0.0669,-0.0039000000000000007,-0.00389619084832694,-0.0038763590239018508,-0.0038427689950378614,-0.004095226373267011,-0.004454072761492923,-0.005148870363471912,-0.006418264801015664,-0.006185768734844938
1997-06-24,0.06309999999999999,0.067,-0.0039000000000000146,-0.0038980954246175636,-0.003877969091621715,-0.003844766193343846,-0.0040924440970007804,-0.004450094865384342,-0.005144374144782067,-0.006414627985731806,-0.006184074256053343
1997-06-25,0.0634,0.0674,-0.0040000000000000036,-0.003949047718382771,-0.0038862705550364294,-0.0038501788976800996,-0.004091127264017758,-0.004446864343862394,-0.005140254715102295,-0.006411141045330212,-0.006182455243464648
1997-06-26,0.0636,0.0678,-0.004199999999999995,-0.004074523866670344,-0.0039075901894477984,-0.0038623666829131235,-0.00409267737712708,-0.004445092972014717,-0.005136870532520593,-0.006407948146010123,-0.006180985758289217
1997-06-27,0.0635,0.0675,-0.0040000000000000036,-0.0040372619322246815,-0.003913863741085528,-0.003867158114799336,-0.004091358471632293,-0.004441900068898217,-0.005132779257222698,-0.006404471260193319,-0.0061793691914901585
1997-06-30,0.064,0.068,-0.0040000000000000036,-0.004018630965834719,-0.003919706008658028,-0.003871779279574754,-0.0040900589384691936,-0.00443873091346308,-0.005128703271746426,-0.006400999598116466,-0.00617775390092749
1997-07-01,0.0633,0.0674,-0.004100000000000006,-0.004059315483220485,-0.003931924113519873,-0.0038797126455840823,-0.004090200280968155,-0.004436302293280993,-0.005125002286752226,-0.00639767752649449,-0.006176213999244936
1997-07-02,0.063,0.0672,-0.004199999999999995,-0.004129657741872286,-0.003950076459443751,-0.0038908386471806903,-0.004091760715371441,-0.00443460850618213,-0.005121674847855706,-0.006394504811610827,-0.006174749423245875
1997-07-03,0.062,0.0663,-0.004299999999999998,-0.004214828871094786,-0.003973753319612725,-0.0039050423430104656,-0.0040947188233057845,-0.00443364389937386,-0.005118719507046944,-0.0063914812201639,-0.00617336010979725
1997-07-07,0.0617,0.0658,-0.0040999999999999995,-0.004138276290317398,-0.003982858094894097,-0.003912035691159192,-0.0040947948430462445,-0.004431237113743803,-0.005115043279054786,-0.006388168887541334,-0.006171822622126371
